name_1,l,b,RA_1,dec_1,viewreduceddatum,name_2,type,created,modified,ra_2,dec_2,epoch,parallax,pm_ra,pm_dec,galactic_lng,galactic_lat,distance,distance_err,scheme,epoch_of_elements,mean_anomaly,arg_of_perihelion,eccentricity,lng_asc_node,inclination,mean_daily_motion,semimajor_axis,epoch_of_perihelion,ephemeris_period,ephemeris_period_err,ephemeris_epoch,ephemeris_epoch_err,perihdist,priority,ztf_alert_name,TNS_ID,classification,maglast,dont_update_me,jdlastobs,aavso_name,cadence,gaia_alert_name,fun name,update_me,tweet,gaiadr2_id,calib_server_name,dicovery_date,Sun_separation,Separation
Gaia21bon,295.08073,-5.54602,172.35621,-67.15921,,Gaia21bon,SIDEREAL,2021-04-12 09:58:01.083679+00:00,2022-08-18 01:28:28.510376+00:00,172.35621,-67.15921,2000.0,,,,295.0807285318945,-5.546016762253065,,,,,,,,,,,,,,,,,,1.0,,AT2021hgj,faint microlensing event,17.59,false,2459781.53345,,10.0,Gaia21bon,,,false,,ivo://Gaia21bon,,82.50658747286649,0.0
Gaia21bop,303.82069,5.36536,194.5063,-57.49502,,Gaia21bop,SIDEREAL,2021-03-30 12:35:31.806508+00:00,2022-08-18 01:28:05.141082+00:00,194.5063,-57.49502,2000.0,,,,303.82069045280264,5.365359643882098,,,,,,,,,,,,,,,,,,3.0,,AT2021hip,faint microlensing,18.77,false,2459754.29991,,3.0,Gaia21bop,,,false,,ivo://Gaia21bop,,80.75825142951645,0.0
Gaia21brx,179.50966,-8.92182,77.76495,24.42879,,Gaia21brx,SIDEREAL,2021-04-12 09:52:08.394892+00:00,2022-08-18 01:28:13.643590+00:00,77.76495,24.42879,2000.0,,,,179.50965580794315,-8.921815832168207,,,,,,,,,,,,,,,,,,9.0,,AT2021ilf,faint anticentre microlensing event candidate,17.89,false,2459689.36287039,,1.0,Gaia21brx,,,false,,ivo://Gaia21brx,,65.94089113999176,0.0
Gaia21bsg,4.63698,6.80103,262.75616,-21.40123,,Gaia21bsg,SIDEREAL,2021-06-01 10:12:49.077712+00:00,2022-08-18 01:31:44.780270+00:00,262.75616,-21.40123,2000.0,,,,4.636978791472385,6.80103375892052,,,,,,,,,,,,,,,,,,3.0,,AT2021iot,microlensing binary event,19.52,false,2459686.18647,,1.0,Gaia21bsg,,,false,,ivo://Gaia21bsg,,118.43664739746332,0.0
Gaia21btu,9.6116,-1.39388,273.04517,-21.30352,,Gaia21btu,SIDEREAL,2021-06-01 10:36:46.074864+00:00,2022-08-18 01:32:05.274015+00:00,273.04517,-21.30352,2000.0,,,,9.611599898439062,-1.3938812889776233,,,,,,,,,,,,,,,,,,1.0,,AT2021ize,candidate microlensing event,18.93,false,2459688.5074,,10.0,Gaia21btu,,,false,,ivo://Gaia21btu,,128.0078605062432,0.0
Gaia21bvg,0.02294,-11.07203,277.85057,-34.20144,,Gaia21bvg,SIDEREAL,2021-06-08 11:30:46.998080+00:00,2022-08-18 01:33:44.706711+00:00,277.85057,-34.20144,2000.0,,,,0.022936369429161732,-11.072027329049197,,,,,,,,,,,,,,,,,,1.0,,AT2021jrq,microlensing event candidate,15.8,false,2459691.6906,,10.0,Gaia21bvg,,,false,,ivo://Gaia21bvg,,130.88022266875635,0.0
Gaia21bwr,320.62939,-4.90247,233.19,-62.09635,,Gaia21bwr,SIDEREAL,2021-06-01 10:41:03.056219+00:00,2022-08-18 01:32:14.138110+00:00,233.19,-62.09635,2000.0,,,,320.6293861003274,-4.9024687163654,,,,,,,,,,,,,,,,,,1.0,,AT2021jvh,microlensing event,17.83,false,2459777.9756,,10.0,Gaia21bwr,,,false,,ivo://Gaia21bwr,,99.88101405764806,0.0
Gaia21bzr,117.31346,4.99939,358.26249,67.23203,,Gaia21bzr,SIDEREAL,2021-04-26 09:42:20.246922+00:00,2022-08-18 01:28:51.695299+00:00,358.26249,67.23203,2000.0,,,,117.31345863349313,4.999386325049242,,,,,,,,,,,,,,,,,,0.0,,AT2021kkq,microlensing event candidate,20.64,false,2459781.40852,,100.0,Gaia21bzr,,,false,,ivo://Gaia21bzr,,96.36739040015993,0.0
Gaia21ccu,277.08558,-2.78053,142.96208,-55.29923,,Gaia21ccu,SIDEREAL,2021-04-29 15:12:32.986865+00:00,2022-08-18 01:30:40.953537+00:00,142.96208,-55.29923,2000.0,,,,277.0855832430155,-2.780534620041946,,,,,,,,,,,,,,,,,,7.0,,AT2021kpk,bright binary microlensing event,14.2,false,2459805.69554,Gaia21ccu,1.0,Gaia21ccu,,,false,,ivo://Gaia21ccu,,68.64003066282325,0.0
Gaia21cjc,40.55052,-3.15179,289.16141,5.32148,,Gaia21cjc,SIDEREAL,2021-06-01 10:47:40.203069+00:00,2022-08-18 01:32:29.277403+00:00,289.16141,5.32148,2000.0,,,,40.55052216429616,-3.1517857161018856,,,,,,,,,,,,,,,,,,2.0,,AT2021mnb,possible microlensing event,20.57,false,2459735.20324,,2.0,Gaia21cjc,,,false,,ivo://Gaia21cjc,,138.00574245075845,0.0
