HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458303.78737,2018-07-04.2817194,be,1.56,99.990,99.990,99.990,99.990,99.990,V
2458303.78863,2018-07-04.2829917,be,1.46,99.990,99.990,99.990,99.990,99.990,V
2458303.78992,2018-07-04.284275,be,1.46,99.990,99.990,99.990,99.990,99.990,V
2458303.86621,2018-07-04.3605623,bj,1.66,14.415,>14.415,99.990,-3.161,1.245,g
2458303.86743,2018-07-04.3617894,bj,1.64,14.429,>14.429,99.990,1.589,1.229,g
2458303.86865,2018-07-04.3630114,bj,1.67,14.313,>14.313,99.990,1.944,1.367,g
2458304.41158,2018-07-04.9059322,bm,1.43,16.980,>16.980,99.990,-0.104,0.117,g
2458304.41278,2018-07-04.9071366,bm,1.51,16.966,>16.966,99.990,-0.206,0.119,g
2458304.41399,2018-07-04.9083472,bm,1.49,17.080,>17.080,99.990,-0.183,0.107,g
2458305.37144,2018-07-05.8658019,bm,1.52,17.187,>17.187,99.990,-0.212,0.097,g
2458305.37266,2018-07-05.8670151,bm,1.61,17.068,>17.068,99.990,-0.155,0.108,g
2458305.37386,2018-07-05.8682203,bm,1.58,17.120,>17.120,99.990,-0.050,0.103,g
2458305.38990,2018-07-05.8842574,bn,2.01,17.424,>17.424,99.990,-0.177,0.078,g
2458305.39112,2018-07-05.8854728,bn,1.99,17.285,>17.285,99.990,-0.158,0.089,g
2458305.39233,2018-07-05.8866798,bn,2.00,17.419,>17.419,99.990,-0.105,0.078,g
2458305.57863,2018-07-06.0729914,bi,1.50,17.072,>17.072,99.990,-0.024,0.108,g
2458305.57985,2018-07-06.0742099,bi,1.51,17.250,>17.250,99.990,-0.082,0.091,g
2458305.58108,2018-07-06.0754333,bi,1.41,17.073,>17.073,99.990,-0.136,0.108,g
2458305.70060,2018-07-06.1949535,bf,1.61,16.603,>16.603,99.990,-0.192,0.175,V
2458305.70187,2018-07-06.1962315,bf,2.25,99.990,99.990,99.990,99.990,99.990,V
2458305.70314,2018-07-06.1975002,bf,1.58,16.733,>16.733,99.990,-0.101,0.155,V
2458306.38301,2018-07-06.8773702,bm,1.41,17.397,>17.397,99.990,-0.158,0.080,g
2458306.38422,2018-07-06.8785811,bm,1.53,17.190,>17.190,99.990,-0.106,0.097,g
2458306.38543,2018-07-06.8797869,bm,1.49,17.231,>17.231,99.990,-0.235,0.093,g
2458306.38665,2018-07-06.8810138,bn,1.59,17.284,>17.284,99.990,-0.079,0.089,g
2458306.38786,2018-07-06.8822224,bn,1.56,17.481,>17.481,99.990,-0.176,0.074,g
2458306.38907,2018-07-06.8834292,bn,1.56,17.351,>17.351,99.990,-0.078,0.083,g
2458306.72410,2018-07-07.2184649,bj,1.62,17.179,>17.179,99.990,-0.002,0.098,g
